institution_name,normalized_institution_name,registration_number,regulator,accreditation_status,ownership_type,institution_type,region,district_or_council,physical_location,mainland_or_zanzibar,website,phone_numbers,email,application_method,official_source_url,source_type,confidence_level,last_verified_date,notes
Nyamwezi,nyamwezi,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
PRIMARY HEALTH CARE INSTITUTE,primary health care institute,REG/HAS/001,NACTVET,,public,health college,,,,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Partage Montessori,partage montessori,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
RIDA INSTITUTE OF CREATIVE KNOWLEDGE AND INNOVATION SKILLS,rida institute of creative knowledge and innovation skills,REG/BTP/002C,NACTVET,,private,business college,,,,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
SHIRATI COLLEGE OF HEALTH SCIENCES,shirati college of health sciences,REG/HAS/032,NACTVET,,private,health college,,,,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
SONGEA SMART PROFESSIONAL COLLEGE,songea smart professional college,REG/HAS/230,NACTVET,,private,health college,,,Development Communication Technology with four (4) Passes in non-religious Subjects,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
ST. AGGREY COLLEGE OF HEALTH SCIENCES,st aggrey college of health sciences,REG/HAS/116,NACTVET,,private,health college,,,and English Language. with four (4) passes in non-religious subjects including Chemistry,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
"ST. JOSEPH'S COLLEGE, THE INSTITUTE OF BUSINESS AND MANAGEMENT - KIBAHA CAMPUS",st joseph s college institute of business and management kibaha campus,REG/BTP/169P,NACTVET,,private,business college,,,,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Sahara,sahara,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
Sila,sila,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
St. Aggrey,st aggrey,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
St. Aggrey Chanji,st aggrey chanji,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
St. Francis Nkindo,st francis nkindo,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
St. Marys,st marys,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
St. Maurus,st maurus,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
TANZANIA RESEARCH AND CAREER DEVELOPMENT INSTITUTE,tanzania research and career development institute,TRACDI,NACTVET,,unknown,mixed,,,,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Teki,teki,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
Tofilo Kisanji,tofilo kisanji,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
UCA,uca,,Ministry,,unknown,teacher college,,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
UNIQUE ACADEMY,unique academy,REG/EOS/029,NACTVET,,private,technical college,,,,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
VETA HOTEL AND TOURISM TRAINING INSTITUTE - VHTTI,veta hotel and tourism training institute vhtti,REG/BTP/001,NACTVET,,public,business college,,,,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
VICTORIA INSTITUTE OF SCIENCE AND TECHNOLOGY,victoria institute of science and technology,REG/HAS/277P,NACTVET,,private,health college,,,Mathematics and English Language is an added advantage.,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
WEST EVAN COLLEGE OF BUSINESS HEALTH AND ALLIED SCIENCES,west evan college of business health and allied sciences,REG/BMG/053,NACTVET,,private,health college,,,,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
ARUSHA COLLEGE OF ADMINISTRATION,arusha college of administration,REG/BTP/162,NACTVET,,private,business college,Arusha,Monduli District Council,Monduli District Council - Arusha,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
ARUSHA INSTITUTE OF BUSINESS STUDIES,arusha institute of business studies,REG/BTP/047,NACTVET,,private,business college,Arusha,Arusha City Council,Arusha City Council - Arusha,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
ARUSHA LUTHERAN MEDICAL TRAINING CENTRE,arusha lutheran medical training centre,REG/HAS/115,NACTVET,,private,health college,Arusha,Arusha District Council,Arusha District Council - Arusha,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
ARUSHA TECHNICAL COLLEGE - ARUSHA,arusha technical college arusha,REG/EOS/004,NACTVET,,public,technical college,Arusha,Arusha City Council,Arusha City Council - Arusha,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Arusha,arusha,,Ministry,,unknown,teacher college,Arusha,,,Mainland,,,,direct institution,https://www.moe.go.tz/sw/matangazo/tangazo-la-nafasi-za-mafunzo-ya-ualimu-ngazi-ya-stashahada-ya-ualimu-elimu-ya-awali-na,regulator,medium,2026-04-24,Listed in ministry 2025/2026 admission notice under non-government teacher colleges. Official notice gives short institution name only; full identity/location should be verified institution-by-institution.
Arusha Technical College (ATC),arusha technical college,,TCU,,public,technical college,Arusha,,Arusha,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as non-university approved to admit students in 2025/2026.
Arusha VTC,arusha vtc,,VETA,,public,vocational centre,Arusha,,Eneo la Oljoro S.L.P 509 ARUSHA,Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Ill; Boarding/day: Bweni na Kutwa
CENTRE FOR EDUCATIONAL DEVELOPMENT IN HEALTH ARUSHA,centre for educational development in health arusha,REG/HAS/086,NACTVET,,public,health college,Arusha,Arusha City Council,Arusha City Council - Arusha,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
CITY COLLEGE OF HEALTH AND ALLIED SCIENCES - ARUSHA CAMPUS,city college of health and allied sciences arusha campus,REG/HAS/237,NACTVET,,private,health college,Arusha,Arusha City Council,Arusha City Council - Arusha,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
EASTERN AND SOUTHERN AFRICAN MANAGEMENT INSTITUTE,eastern and southern african management institute,REG/BMG/019,NACTVET,,public,business college,Arusha,Arusha City Council,Arusha City Council - Arusha,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
ECASSA INSTITUTE OF SOCIAL PROTECTION,ecassa institute of social protection,REG/BTP/201,NACTVET,,private,business college,Arusha,Arusha City Council,Arusha City Council - Arusha,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
EXCELLENT COLLEGE OF HEALTH AND ALLIED SCIENCES - ARUSHA CAMPUS,excellent college of health and allied sciences arusha campus,REG/HAS/271,NACTVET,,private,health college,Arusha,Arumeru District Council,Arumeru District Council - Arusha,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
FANIKIWA JOURNALISM SCHOOL,fanikiwa journalism school,REG/BTP/200,NACTVET,,private,business college,Arusha,Arusha City Council,Arusha City Council - Arusha,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
FORESTRY TRAINING INSTITUTE OLMOTONYI,forestry training institute olmotonyi,REG/ANE/007,NACTVET,,public,agriculture college,Arusha,Arusha City Council,Arusha City Council - Arusha,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
HABARI MAALUM COLLEGE (HMC),habari maalum college,REG/PWF/036,NACTVET,,private,business college,Arusha,Arusha District Council,Arusha District Council - Arusha,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
HORTICULTURAL RESEARCH AND TRAINING INSTITUTE TENGERU - ARUSHA,horticultural research and training institute tengeru arusha,REG/SAT/002,NACTVET,,public,technical college,Arusha,Arumeru District Council,Arumeru District Council - Arusha,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
INSTITUTE OF ACCOUNTANCY ARUSHA,institute of accountancy arusha,IAA,NACTVET ; TCU,,unknown,business college,Arusha,Songea Municipal Council,Songea Municipal Council - Ruvuma,Mainland,,,,CAS ; TCU,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf ; https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026. ; Listed by TCU as non-university approved to admit students in 2025/2026. || Alternate official spellings/names seen: Institute of Accountancy Arusha (IAA) || Ownership labels differed across sources.
JR INSTITUTE OF INFORMATION TECHNOLOGY,jr institute of information technology,REG/EOS/017,NACTVET,,private,technical college,Arusha,Arusha City Council,Arusha City Council - Arusha,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KARAGWE INSTITUTE OF ALLIED HEALTH SCIENCES,karagwe institute of allied health sciences,REG/HAS/146,NACTVET,,private,health college,Arusha,and English Language.,and English Language.,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
