programme_name,normalized_programme_name,award_level,field_category,institution_name,institution_registration_number,minimum_entry_requirements,required_subjects,duration,fees_if_available,mode,campus_location,admission_capacity,entry_route_types,accepts_form_four_direct,accreditation_status_if_available,application_link,official_source_url,source_type,secondary_source_url,secondary_source_type,confidence_level,last_verified_date,notes
Ordinary Diploma in Graphic Arts and Printing,ordinary diploma in graphic arts and printing,ordinary diploma,other,ARDHI INSTITUTE - TABORA,REG/EOS/010,"CSEE with 4+ non-religious passes including one pass in Chemistry, Physics/Engineering Science or NVA Level III in Printing, Painting & Sign Writing, Information & Communication Technology and Pattern Making with a CSEE | NTA Level 4/BTC in Cartography, Graphic Arts & Printing, Land Surveying, Land Management, Valuation & Registration, Photogrammetry, Urban and Regional Planning, Information and Communication Technology, Painting and Sign Writing, Graphic Design Architecture, Advertisement Design, Architecture or Advanced Certificates of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Physics, Chemistry, Geography, Mathematics, Agriculture, Biology or Economics",Biology; Chemistry; Physics/Engineering Sciences; Mathematics; Geography; Economics; Agriculture,3 years or 2 years,"Local Fee: TSH. 1,250,000/=",unknown,Tabora Municipal Council - Tabora,60 or 30,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
"Ordinary Diploma in Land Management, Valuation and Registration",ordinary diploma in land management valuation and registration,ordinary diploma,agriculture,ARDHI INSTITUTE - TABORA,REG/EOS/010,"CSEE with 4+ non-religious passes including one pass in English Language or History | NTA Level 4/BTC in Land Management, Valuation & Registration, Cartography, Land Surveying, Urban and Regional Planning, Law, Geomatics or Building Construction or Advanced Certificates of Secondary Education Examination (ACSEE) with 1 principal + 1 subsidiary",English Language; English; History,3 years or 2 years,"Local Fee: TSH. 1,250,000/=",unknown,Tabora Municipal Council - Tabora,380 or 300,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Geographical Information System (gis),ordinary diploma in geographical information system gis,ordinary diploma,ICT,ARDHI INSTITUTE MOROGORO,REG/EOS/008,"A CSEE with A Minimum of four Passes Except Religious Subjects two (2) of The Passes Should Be Either in Geography, Mathematics, Physics or Information and Computer Studies, Electronics and Communication Engineering or Chemistry Subjects | A Basic Technician Certificates (NTA Level 4) in Geographical Information System, Cartography, Land Management, Valuation and Registration, Land Surveying, Photogrammetry, Geo- Informatics, Environmental Planning/management, Geomatics, Information & Communication Technology and Computer Science from Any Institution Recognized By The Tanzania Government Education Regulatory Bodies or Any Other Equivalent Qualifications Recognized By NACTVET Relating to GIS or ACSEE with one Principal Pass in Mathematics, or Geography, or Biology, Physics or Chemistry or Economics and At Least one Subsidiary Pass in Any Principal Subject",Biology; Chemistry; Physics; Mathematics; Geography; Economics,3 years or 2 years,"Local Fee: TSH. 1,330,000/=",unknown,Morogoro Municipal Council - Morogoro,100,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Geomatics,ordinary diploma in geomatics,ordinary diploma,engineering,ARDHI INSTITUTE MOROGORO,REG/EOS/008,"CSEE with 4+ non-religious passes including Geography and English Language and a pass either in Physics or Basic Mathematics | NTA Level 4/BTC in Geomatics, Land Surveying, Cartography, Civil Engineering, Mining Engineering and Environmental Engineering or any other equivalents certificate related to Engineering and Survey and Mapping Discipline or ACSEE with at least one Principal pass and one Subsidiary in either Mathematics, Physics/Engineering Science or Geography",Physics/Engineering Sciences; Basic Mathematics; English Language; English; Geography,3 years or 2 years,"Local Fee: TSH. 1,200,000/=; Foreigner Fee: USD 980/=",unknown,Morogoro Municipal Council - Morogoro,150,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Urban and Regional Planning,ordinary diploma in urban and regional planning,ordinary diploma,other,ARDHI INSTITUTE MOROGORO,REG/EOS/008,"CSEE with 4+ non-religious passes including Passes in either Geography, Mathematics, Physics, Chemistry, Biology, English, Commerce and History or NVA Level III with CSEE | NTA Level 4/BTC in Urban and Regional Planning or ACSEE with 1 principal + 1 subsidiary",Biology; Chemistry; Physics; Mathematics; English; Geography; Commerce; History,3 years or 2 years,"Local Fee: TSH. 1,200,000/=; Foreigner Fee: USD 980/=",unknown,Morogoro Municipal Council - Morogoro,70,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Accountancy,ordinary diploma in accountancy,ordinary diploma,business,ARUSHA ADVENTIST COLLEGE,REG/BTP/161,CSEE with 4+ non-religious passes including Basic Mathematics | NTA Level 4/BTC in Accountancy or ACSEE with 1 principal + 1 subsidiary,Basic Mathematics; Accounting,3 years or 2 years,"Local Fee: TSH. 1,145,400/=",unknown,Arusha City Council - Arusha,50,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
"Ordinary Diploma in Records, Archives and Information Management",ordinary diploma in records archives and information management,ordinary diploma,business,ARUSHA ADVENTIST COLLEGE,REG/BTP/161,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Records Management, Medical Records, Library and information studies or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,145,400/=",unknown,Arusha City Council - Arusha,50,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Accountancy,ordinary diploma in accountancy,ordinary diploma,business,ARUSHA COLLEGE OF ADMINISTRATION,REG/BTP/162,CSEE with 4+ non-religious passes including Basic Mathematics | NTA Level 4/BTC in Accountancy or ACSEE with 1 principal + 1 subsidiary,Basic Mathematics; Accounting,3 years or 2 years,"Local Fee: TSH. 1,250,000/=",unknown,Monduli District Council - Arusha,200,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Business Administration,ordinary diploma in business administration,ordinary diploma,business,ARUSHA COLLEGE OF ADMINISTRATION,REG/BTP/162,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Business Administration, Finance and Banking, Marketing or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,250,000/=",unknown,Monduli District Council - Arusha,200,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Accountancy,ordinary diploma in accountancy,ordinary diploma,business,ARUSHA INSTITUTE OF BUSINESS STUDIES,REG/BTP/047,CSEE with 4+ non-religious passes including Basic Mathematics | NTA Level 4/BTC in Accountancy or ACSEE with 1 principal + 1 subsidiary,Basic Mathematics; Accounting,3 years or 2 years,"Local Fee: TSH. 1,105,000/=; Foreigner Fee: USD 800/=",unknown,Arusha City Council - Arusha,100,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Business Administration,ordinary diploma in business administration,ordinary diploma,business,ARUSHA INSTITUTE OF BUSINESS STUDIES,REG/BTP/047,CSEE with 4+ non-religious passes | NTA Level 4/BTC in Business Administration or ACSEE with 1 principal + 1 subsidiary,,3 years or 2 years,"Local Fee: TSH. 1,105,000/=; Foreigner Fee: USD 800/=",unknown,Arusha City Council - Arusha,100,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Nursing and Midwifery,ordinary diploma in nursing and midwifery,ordinary diploma,health,ARUSHA LUTHERAN MEDICAL TRAINING CENTRE,REG/HAS/115,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 2,300,000/=; Foreigner Fee: USD 2,826/=",unknown,Arusha District Council - Arusha,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Social Work,ordinary diploma in social work,ordinary diploma,social work,ARUSHA LUTHERAN MEDICAL TRAINING CENTRE,REG/HAS/115,"CSEE with at least Four (4) Passes in non- religious subjects | NTA Level 4/BTC in Social work,Development Planning and Community Development or Advanced Certificate of Secondary Examination (ACSEE) with at least one Principal Pass and one Subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,200,000/=",unknown,Arusha District Council - Arusha,50,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Basic Technician Certificate in Architecture Engineering,basic technician certificate in architecture engineering,basic technician certificate,engineering,ARUSHA TECHNICAL COLLEGE - ARUSHA,REG/EOS/004,"CSEE with Minimum Pass of D Grade in four (4) of The Following Subjects Physics/ Engineering Science, Mathematics, Chemistry or Geography and English Language/ English/ First Language English /second Language English. or Applicant Should Be The Holder of A CSEE and National Vocational Awards (nva) Level III Provided By Veta",Chemistry; Physics/Engineering Sciences; Mathematics; English Language; English; Geography,1 year,"Local Fee: TSH. 950,000/=",unknown,Arusha City Council - Arusha,60,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Basic Technician Certificate in Geology and Gemstone Processing Engineering,basic technician certificate in geology and gemstone processing engineering,basic technician certificate,engineering,ARUSHA TECHNICAL COLLEGE - ARUSHA,REG/EOS/004,"CSEE with minimum pass of D grade in Four (4) of the following subjects: Physics/ Engineering Science, Mathematics, Chemistry or Geography and English Language or Holders of Pre-technology certificate who have completed CSEE and possess National Vocational Awards (NVA) Level III or Grade Test I or Holders of a CSEE and possess Basic Technician Certificate in Lapidary and Jewelry Technology",Chemistry; Physics/Engineering Sciences; Mathematics; English Language; English; Geography,1 year,"Local Fee: TSH. 950,000/=",unknown,Arusha City Council - Arusha,50,CSEE; Certificate; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Basic Technician Certificate in Lapidary and Jewellery Technology,basic technician certificate in lapidary and jewellery technology,basic technician certificate,other,ARUSHA TECHNICAL COLLEGE - ARUSHA,REG/EOS/004,"CSEE with at least four (4) passes in non-religious, Nutrition and Needle Work subjects",Food and Nutrition,1 year,"Local Fee: TSH. 850,000/=; Foreigner Fee: USD 1,000/=",unknown,Arusha City Council - Arusha,25,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Basic Technician Certificate in Multimedia and Animation Technology,basic technician certificate in multimedia and animation technology,basic technician certificate,media,ARUSHA TECHNICAL COLLEGE - ARUSHA,REG/EOS/004,"CSEE with Minimum Pass of ""D"" Grade in Any four (4) Subjects Excluding Religious, Nutrition and Needle Work or CSEE and National Vocational Awards (nva) Level III Awarded By Veta",Food and Nutrition,1 year,"Local Fee: TSH. 950,000/=",unknown,Arusha City Council - Arusha,50,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Auto Electrical and Electronic Engineering,ordinary diploma in auto electrical and electronic engineering,ordinary diploma,engineering,ARUSHA TECHNICAL COLLEGE - ARUSHA,REG/EOS/004,"CSEE with at least four (4) passes in Physics/Engineering Science, Chemistry, Mathematics and English Language",Chemistry; Physics/Engineering Sciences; Mathematics; English Language; English,3 years,"Local Fee: TSH. 850,000/=; Foreigner Fee: USD 1,000/=",unknown,Arusha City Council - Arusha,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Automotive Engineering,ordinary diploma in automotive engineering,ordinary diploma,engineering,ARUSHA TECHNICAL COLLEGE - ARUSHA,REG/EOS/004,"CSEE with at least four (4) passes in Physics/Engineering Science, Chemistry, Mathematics and English Language",Chemistry; Physics/Engineering Sciences; Mathematics; English Language; English,3 years,"Local Fee: TSH. 850,000/=; Foreigner Fee: USD 1,000/=",unknown,Arusha City Council - Arusha,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Civil Engineering,ordinary diploma in civil engineering,ordinary diploma,engineering,ARUSHA TECHNICAL COLLEGE - ARUSHA,REG/EOS/004,"CSEE with at least four (4) passes in Physics/Engineering Science, Chemistry, Mathematics and English Language",Chemistry; Physics/Engineering Sciences; Mathematics; English Language; English,3 years,"Local Fee: TSH. 850,000/=; Foreigner Fee: USD 1,000/=",unknown,Arusha City Council - Arusha,200,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Civil and Highway Engineering,ordinary diploma in civil and highway engineering,ordinary diploma,engineering,ARUSHA TECHNICAL COLLEGE - ARUSHA,REG/EOS/004,"CSEE with at least four (4) passes in Basic Mathematics, Physics, Biology, Chemistry and English Language",Biology; Chemistry; Physics; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 850,000/=",unknown,Arusha City Council - Arusha,150,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Civil and Irrigation Engineering,ordinary diploma in civil and irrigation engineering,ordinary diploma,engineering,ARUSHA TECHNICAL COLLEGE - ARUSHA,REG/EOS/004,"CSEE with at least four (4) passes in Physics/Engineering Science, Chemistry, Mathematics and English Language",Chemistry; Physics/Engineering Sciences; Mathematics; English Language; English,3 years,"Local Fee: TSH. 850,000/=; Foreigner Fee: USD 1,000/=",unknown,Arusha City Council - Arusha,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
